0,Small business optimism maintains postelection surge.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6406.jpg,1
1,Unemployment has recently achieved the lowest rate in years.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6407.jpg,1
2,Indian army is killing thousands of Kashmirs and they brutally torturing woman physically assaulted the woman kashmir by the Indian army burning their houses .,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6408.jpg,1
3,excellent analysis by CamillaHodgson on why no one has a clue about the genuine mortality rate for COVID FT ,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6409.jpg,1
4,"Brazilian health regulator Anvisa on Friday approved clinical trials of a potential coronavirus vaccine developed by Chinas Sinovac,according to an official gazette publication.",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6410.jpg,1
5,MOH says u Eat a lot of Citrus and Alkaline water hot lemon water too .,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6411.jpg,1
6,"Dropping nuclear bombs into hurricanes is hard to fathom, but it's not the first time nuclear explosions were considered for a variety of noncombat purposes, from melting the polar icecaps to nuking the moon.",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6412.jpg,1
7,So many Americans celebs included considered moving to Canada last night that the immigration site CRASHED,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6413.jpg,1
8,A photo of Kangana Ranaut is viral in which Mark Manuel is claimed as Abu Salem.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6414.jpg,1
9,BREAKING Fmr.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6415.jpg,1
10,Max Blumenthal shows us all the COLGANE toothpaste available in Venezuela.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6416.jpg,1
11,Today thousands of people marched from Downing Street to the Indian High Commission to send a clear message to Mr Modi you cannot silence the people of Kashmir.,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6417.jpg,1
12,"In a big shock to PM Modi and ruling BJP, Pakistani flags raised in Indian state ",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6418.jpg,1
13,"Doctors with DrsCovidEthics say Covid vaccines are unnecessary and ineffective, halt the use of covid vaccines in children and adolescents Article in ChildrensHD ",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6419.jpg,1
14,Your mask protects others amp,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6420.jpg,1
15,'There is an increased risk with the new variant' Chief Scientific Adviser Sir Patrick Vallance gives an update on the new coronavirus variants ,/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6421.jpg,1
16,"The proposed D model of Shri Ram Janmabhoomi Mandir, Ayodhya.",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6422.jpg,1
17,"Some people are posting this video, claiming it shows a US soldier deliberately spreading coronavirus in Wuhan before the outbreak, and so supports the conspiracy theory that the virus is from the US.",/home/jncsnlp4/SSD2/tb/data/MR2-en/train/img/6423.jpg,1
